State,week_end_num,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
hesse,2021.504109589041,0.0017524295286047305,0.008965572854586027,0.001778430411332561,0.003458114983596041,0.0017160283146203095,0.003395710871169003,0.0017680300566801682,0.010739108851154384,0.0018564331375272125,0.00561630328583662,0.005605902163555226,0.007290911104813628,0.009345239694937212,0.00906959089131662,0.0073637213637754466,0.009319235028401941,0.011030369812076866,0.010858733691253035,0.010806722857394844,0.012367070502966001,0.011826144683617312,0.017240857830099987,0.009293230374865555,0.004451390522233534,0.0056111027244387535,0.007082882355239951,0.005730715768236012,0.0069840689907324175,0.0027300716650088515,0.0027092705771113563,0.00261566578454326,0.006240374429955163,0.005049445154527776,0.005013041632488857,0.007675766485504184,0.0051742574235774715,-0,0.006573215435966263,0.005273067349034468,0.00638599210793978,-0,0.0075769519943590736,0.009168408218935003,-0,0.0026676684262789594,0.00802941988716782,0.0055434954735562566,-0,0.0027144708483027614,-0,0.0035569216481055464,0.003416512233653071,0.0043057782616826865,0.0031044926700280707,-0,0.00400935456260728,0.003000486564872446,0.001003609684867492,0.0030628902030005773,0.0010608108203087946,0.0021788456471371156,0.002267249426398356,0.0035205191709188123,0.0012428148516948493,-0,0.0013208167744416161,-0,-0,-0,0.0029276824150337995,0.0014924214163493834,-0,0.004492994100142433,0.0032397009177293707,-0,0.0020540405675667285,-0,-0,0.0019292357875457782,-0,3.9520150176742684e-4
hesse,2021.5232876712328,-0,0.0017940309472143036,-0,0.006921660646735023,0.013714208297844595,0.0050962497203174036,0.00883034971790915,0.010739108851154384,0.005569498251956764,0.003744134790467952,0.014952149474492278,0.016408588590982542,0.011217609862723512,0.003629726678935282,0.0073637213637754466,0.013043235690132871,0.01287159292533582,0.010858733691253035,0.01621612822578613,0.0070672802325678265,0.01013578776460552,0.012538711602429472,0.015487906263722354,0.014848119669956026,0.0028028755381770093,0.007082882355239951,0.011462063165765058,0.008383075694054132,0.004092561044388847,0.010848331520319662,0.006536810847169685,0.006240374429955163,0.005049445154527776,0.0100317675950974,0.005117051763078601,0.0051742574235774715,0.004035356573860712,0.0026312665716063024,0.002636466834996906,0.0051118512516052615,0.005059846165506341,0.001263615352987529,0.005236663670438811,0.010603881102422153,0.004004154161913369,0.00802941988716782,0.0041549659931030825,0.009548076540247592,0.0054238828604055945,0.003816940083414855,-0,0.003416512233653071,0.0032293002708088333,0.00206964118613459,0.002028039547028811,-0,0.002002038539491907,0.003005686865187052,0.0030628902030005773,0.004248573556591155,0.0010868113572177433,0.0011336123564175387,0.0035205191709188123,0.0012428148516948493,0.0025480624280375427,0.002646867363344045,0.0013832183968856015,0.0014092190950022075,-0,-0,-0,-0,0.0014976215658567178,-0,0.0034477142929898856,-0,0.002485659407735331,-0,0.0019292357875457782,-0,5.980034385291251e-4
hesse,2021.5424657534247,-0,0.005382278537721043,0.0035569216481055464,0.003458114983596041,0.006859252377637567,0.0050962497203174036,0.01236186926637474,0.0053666769252910624,0.009282828517093458,0.009360842501099463,0.009345239694937212,0.007290911104813628,0.009345239694937212,0.00906959089131662,0.0073637213637754466,0.013043235690132871,0.014712881235188904,0.019904208913349573,0.03784376734006448,0.03357683809074089,0.028727533838911377,0.029788930874782522,0.007743376508689189,0.020783352790503123,0.007015273190818646,0.01416152817957697,0.018629736785086778,0.011176000904313569,0.019113512323043688,0.01762578685831152,0.019612898244428863,0.01122801210752824,0.01136844261605168,0.006266377556829031,0.007675766485504184,0.009059189078280308,0.004035356573860712,0.005257465769371192,0.0039573505791006425,0.007665364951277586,0.007587353510900485,0.0075769519943590736,0.006547212155654591,0.010603881102422153,-0,0.00802941988716782,0.006926861339210263,0.0054550861242678925,0.0054238828604055945,0.00763416036108147,0.004742616266586923,0.003416512233653071,0.0010764111408929447,0.006214371316084415,0.006089556550493997,0.002002038539491907,0.003998953761745314,0.002002038539491907,0.006131161439069603,0.0021268434942464864,0.0021788456471371156,0.0011336123564175387,0.0011752132799592396,0.003723333296920117,0.0038273408478713415,0.0013208167744416161,0.002761273312456735,0.0014092190950022075,0.0014716208235318897,-0,-0,0.0014768209709591054,0.0014976215658567178,0.0016224253099669165,-0,-0,-0,-0,-0,0.004118563097248782,3.9520150176742684e-4
hesse,2021.5616438356165,-0,0.008965572854586027,0.0053302731811678185,0.010380235982015222,0.012002985197778588,0.0017004278021459124,0.015898830260037758,0.003577723075084036,0.005569498251956764,0.007488539187764362,0.0018668335098608409,0.009116399075726127,0.005605902163555226,0.00906959089131662,0.012887196789636148,0.011181202022291139,0.011030369812076866,0.01447881554465439,0.012611529209729022,0.024737082944720684,0.016897545154874634,0.028217654731086336,0.02323358960866415,0.028212451908818135,0.025252130450804308,0.028326914119026943,0.028665099393831998,0.020955021672638508,0.02320757799577594,0.012200631190001126,0.022229550793465908,0.016221329847915026,0.01641899187425904,0.020065470878261472,0.012788372394834305,0.009059189078280308,0.004035356573860712,0.007888998395657308,0.013183671100922938,0.011498471202837403,0.012642736786929665,0.0075769519943590736,0.009168408218935003,0.0066252220356052575,0.00934003876058632,0.009371244374477157,0.006926861339210263,0.008185444211358792,0.010848331520319662,0.010182596908770295,0.00592833792167956,0.003416512233653071,0.010770315304649863,0.0031044926700280707,0.006089556550493997,0.007015273190818646,0.003000486564872446,0.006011547474138592,0.0010192099882909557,0.003187697703935032,0.005444685034233358,0.0011336123564175387,0.0023452528858511536,0.0012428148516948493,0.006375590831702886,-0,0.002761273312456735,0.0014092190950022075,0.0029484835903008004,0.0029276824150337995,0.0014924214163493834,0.0014768209709591054,0.0014976215658567178,0.004862227312667634,-0,-0,0.002485659407735331,-0,-0,-0,0.0011908136348706493
hesse,2021.5808219178082,0.005262666295407436,0.0035881237916937088,0.0053302731811678185,0.008648319127665926,0.005143054328229515,0.0050962497203174036,0.007062079526054584,0.003577723075084036,0.011139593093019493,0.009360842501099463,0.005605902163555226,0.00364532777022918,0.007478137690988677,0.012699950727104952,0.022099495370346427,0.013043235690132871,0.02390469371950037,0.02171453322428923,0.03243211176184075,0.03534601016741689,0.021964238075358078,0.026651628730552348,0.021688522371262946,0.02524172540019244,0.01823439667655059,0.025491447189510977,0.02149604246322626,0.023748622223149062,0.019113512323043688,0.020341177976683764,0.02092380910645847,0.017469734206142073,0.010104581691902875,0.02131916966238195,0.011508873503826681,0.010354230797883906,0.010759913151403842,0.010520664201067077,0.014504822791571606,0.01277796983788551,0.006323584481731828,0.008840751485169706,0.009168408218935003,0.017235656105985493,0.008008616679312571,0.0053510753175478225,0.011087581978242765,0.006822847588589405,0.012205832410470544,0.00763416036108147,0.004742616266586923,0.007972211085594934,0.011846949418775633,0.005179457941286273,0.0050754476858778375,0.007015273190818646,0.009001979143776418,0.007015273190818646,0.004087360635379416,0.006375590831702886,0.0021788456471371156,0.003395710871169003,0.0046906115497633806,0.004966237141599493,0.007649762653835953,0.002646867363344045,0.0013832183968856015,-0,0.0014716208235318897,0.0029276824150337995,0.0029848856670374397,0.0044305887457612245,-0,0.004862227312667634,0.001721228486489026,0.006167565743876809,-0,-0,0.0019292357875457782,0.002059240773237899,0.0035725227175621927
hesse,2021.6,0.0035101184678309845,0.005382278537721043,0.010666293865828298,0.006921660646735023,0.005143054328229515,0.003395710871169003,0.007062079526054584,0.007160893038802436,0.00742613023831921,0.007488539187764362,0.011212408741098598,0.00364532777022918,0.013084846142679749,0.012699950727104952,0.011045973123877359,0.02049723924633706,0.025746372753096502,0.03801028875082421,0.02522611782817554,0.02297347406533756,0.03886892323879729,0.036058899458987825,0.03253097349605066,0.029695277323685064,0.032265608213284745,0.03257780280417161,0.034398975275194865,0.022354404305684895,0.017745427542126654,0.016273346097787213,0.023540527623343504,0.017469734206142073,0.012632334259115106,0.015045776476522381,0.008955171062356925,0.024591413868446203,0.01613810395633775,0.011836547050156,0.015820806466682606,0.008944769272208542,0.011378844891029515,0.01136324147934599,0.01047905580032977,0.009277627588990575,0.008008616679312571,0.012044594817923965,0.009698904450954024,0.013641389146411435,0.00949086606787186,0.02163650070423713,0.007114086614622255,0.01595084618731619,0.0043057782616826865,0.00828425985881655,0.004056158192227219,0.007015273190818646,0.006999671088432016,0.005013041632488857,0.011238414354413867,0.006375590831702886,0.0010868113572177433,0.002267249426398356,0.0046906115497633806,0.004966237141599493,0.005101450230224663,0.0013208167744416161,0.00414456516311655,0.002813276099801863,-0,0.0014664206766304769,-0,0.0044305887457612245,0.0014976215658567178,0.0032397009177293707,0.001721228486489026,0.00411336268563894,0.002485659407735331,0.007530145195667328,0.003858543153722642,0.002059240773237899,0.004565800441571103
hesse,2021.6191780821919,0.010525865253503073,0.005382278537721043,0.010666293865828298,0.01557113111465948,0.017147226875703747,0.013589375529244961,0.019430829905075154,0.007160893038802436,0.011139593093019493,0.016850729965688042,0.033649685164522075,0.012762366006361344,0.018697361052054044,0.029034504284252208,0.029466347131083353,0.03727655778639877,0.04230360297717748,0.041632261372329366,0.05406649782049767,0.03534601016741689,0.052390382987264866,0.04703966984106788,0.041830020014312116,0.04900708596312342,0.030865958835972974,0.031162535669910882,0.04443738190897566,0.04611324040876914,0.03413360045953551,0.024409328096941,0.036620892067033874,0.024955587324263617,0.025262535503498197,0.03511705509614594,0.03837976003511822,0.028472593660054855,0.03497135693929339,0.02499200481011761,0.027692172310554285,0.029388302977604152,0.015175814258995226,0.0239983368421553,0.03274951062810185,0.014582844610372604,0.033368704156553755,0.01873897602928555,0.03188057079921395,0.020466026954941582,0.00949086606787186,0.020367188155770984,0.02135038246587484,0.013672597341678638,0.014000284522855034,0.011394448307400865,0.010146189793001357,0.009017581846942305,0.006999671088432016,0.008019018282199874,0.012263045869935648,0.004248573556591155,0.007623758835177322,0.007930604723981044,0.0035205191709188123,0.00869512693287168,0.00127401560675402,0.005293869462529797,0.00414456516311655,0.008445485792009783,0.004420187860645602,0.0014664206766304769,0.0014924214163493834,0.0029536838854148113,0.004492994100142433,0.004862227312667634,0.008617113947610913,0.0020540405675667285,0.004971437638504235,-0,0.005787922103842218,0.004118563097248782,0.004763418167881299
hesse,2021.6383561643836,0.017547760473690187,0.010759913151403842,0.015997660566351175,0.025954476180500403,0.017147226875703747,0.027177100635994957,0.035330399562349,0.034013922064202035,0.03156317723674844,0.0430738350296186,0.033649685164522075,0.041949716399827155,0.04301138335710295,0.05444649409961552,0.07185121750446419,0.0839124684265873,0.06070902453648832,0.06336419029119505,0.06669114815792276,0.07602234405185379,0.0625415950331747,0.07057547158231942,0.057335597719927085,0.051979170520600644,0.08281350805687844,0.062338551370624266,0.04873643171051591,0.05310350598702961,0.06965382971596201,0.05154193551549048,0.0392384006239477,0.058663077528110105,0.04421879565162494,0.05017299730986679,0.04478087645554891,0.033649685164522075,0.04035205256773036,0.038145587789724655,0.030330043583820188,0.04344854663979446,0.029086533352894357,0.03410237998202341,0.040612255057304224,0.03977961167374313,0.0306994603021415,0.03748470736268477,0.04435931528301436,0.02865469366027251,0.025772385635974608,0.03182333575133362,0.03203146350014633,0.026204201392723697,0.019384012435137786,0.015534720225985062,0.02537178868248336,0.006011547474138592,0.014998962954432291,0.012028991206470531,0.016346168935031078,0.01380783307096228,0.009797722974486243,0.011326833536955195,0.010557071579020381,0.003723333296920117,0.006375590831702886,0.007941006311263562,0.002761273312456735,0.005631904973156666,0.0103178235619476,0.0014664206766304769,0.007467736196293589,0.005907535554375335,0.0014976215658567178,0.006479603687694912,0.005169056906383001,0.0020540405675667285,0.002485659407735331,0.001882434072264451,0.007722573415268598,0.0061779669785036575,0.007743376508689189
hesse,2021.6575342465753,0.019300781481543735,0.019727341526875847,0.007108885903421963,0.032874389401630066,0.03944655805341209,0.04077358125472403,0.0477058764888465,0.06625899606200639,0.0742934470056933,0.06930496389287484,0.06358285704276034,0.06384838219158666,0.08231351481760345,0.10895526695468051,0.08291767392018562,0.09697677164131224,0.06807093491285825,0.08873045979140824,0.09014729462215262,0.10079562689518222,0.06592056620532166,0.08783974883385406,0.07594422999361228,0.06981003905209797,0.07860017380515578,0.07368418072041556,0.0602092437912557,0.061489941567371684,0.05872034212544367,0.059683437984089836,0.07196056861129144,0.05616952576858913,0.037901009014864574,0.06523330004377163,0.06654536150726965,0.06343707910621249,0.06189081686516758,0.06052160619411965,0.05275995645974098,0.06902379015674179,0.064520010678915607,0.05432156350967198,0.04716978765624455,0.05702325445467443,0.0520624537955439,0.0428448459304193,0.05823099214499452,0.049132003785611465,0.042053800437282025,0.04710733106432481,0.02135038246587484,0.023925503287740443,0.026927370751480138,0.03107408275295363,0.020294359687120483,0.01002136558959044,0.017001579059527188,0.016039273383099933,0.018390451623496243,0.01380783307096228,0.011976979202098424,0.011326833536955195,0.01876498540697031,0.007452133958149193,0.010203400986370103,0.01058307686459831,0.005527893812761903,0.011259218854422043,0.007368922100462836,0.00878874266967398,0.011945772024446666,0.011815742319159573,0.011982180400191667,0.012960014884929158,0.0034477142929898856,0.00411336268563894,0.00994855160930412,0.005647506665163499,0.009652095742195298,0.014421599647218522,0.010718304559228361
hesse,2021.676712328767,0.0333426874733578,0.021522053219978347,0.023108733985480374,0.048455369169999596,0.04630581146000827,0.06797200558749768,0.1361581044131186,0.1559319624128712,0.16544611741316995,0.21195699219337893,0.20036191331718214,0.18446399582534379,0.1928873033789983,0.17261417993779826,0.20291459256930133,0.2184526191410858,0.18787177437515382,0.1503932725669472,0.13347315240052596,0.14506896777583198,0.09129850134820539,0.10354141646888455,0.08990247113873337,0.07575675673258721,0.09686215821966222,0.09779470202998607,0.06882072118172773,0.0824697621884398,0.07238756084952898,0.08819915668238097,0.0785064323023546,0.08115209074297325,0.08467810857222878,0.08908987379632662,0.09984739928125455,0.0997223595676159,0.08208435285628438,0.09739354984958537,0.0857614825972361,0.06774811359876247,0.07718365355756147,0.0517969888216807,0.07863662887965775,0.06631106238930223,0.08279267490925667,0.0696382088081604,0.06378069918176019,0.05596130138599396,0.04477046749655761,0.04838250135191921,0.04983467212861658,0.035325196028371635,0.033389517512484854,0.027967919849274787,0.027400818009318758,0.023051508591713125,0.01900427229203403,0.027062640956720622,0.020434814682275072,0.02018511717539675,0.023956717655714922,0.02039319834786262,0.01759457629041233,0.00993814962044355,0.019129118060496397,0.009262024807791492,0.00414456516311655,0.011259218854422043,0.026531967553775116,0.004394185656960979,0.016424193516674894,0.014764895976167997,0.004492994100142433,0.012960014884929158,0.015508712463970627,0.00411336268563894,0.004971437638504235,0.007530145195667328,0.015441092343604745,0.016481411617619894,0.015883225492003324
hesse,2021.695890410959,0.026323861815248883,0.03049133788453498,0.03911350656623497,0.04672738841304081,0.049740982467614055,0.05437361788567465,0.1432439153003717,0.15054972463519722,0.14683150782324372,0.14246176956173828,0.1497309640255311,0.18812227839405915,0.13663254723982776,0.1380454740463028,0.1253461523189667,0.13059024177086442,0.13439071264075308,0.15402308177476956,0.1027807088223877,0.11142008435738254,0.08960555909907471,0.1066833611558428,0.08214685147285326,0.08170415455722711,0.06595701239175536,0.0580852292111886,0.07886056775515922,0.07547554810833232,0.06965382971596201,0.09362703811057943,0.07326759249784265,0.05616952576858913,0.0555969107227635,0.06774290681979354,0.079350111911237,0.07250732759478067,0.08208435285628438,0.07368938809432042,0.06727950557985284,0.06774811359876247,0.08604795546367336,0.06696710257998466,0.08257392736316037,0.07029429097625384,0.07343943473525481,0.06561858450044873,0.05268187733826386,0.05459224683391008,0.04884052933326955,0.03691750172557168,0.05814249317216859,0.04444258635487082,0.033389517512484854,0.038327721667228073,0.02435730370790592,0.023051508591713125,0.020003046832517246,0.025059637351513973,0.02452378193602447,0.024435340310973965,0.017422918501815595,0.013594576888617496,0.01759457629041233,0.014905336036696496,0.0127519634546151,0.01720444577224309,0.013818235833936423,0.02111628689636012,0.01326689226406136,0.0175789710134846,0.010453050566778655,0.010338627693648754,0.005990745073540965,0.009719708335039781,0.010338627693648754,0.022614516752292035,0.014920940511277144,0.009412851888795442,0.007722573415268598,0.01236186926637474,0.017667400977983524
hesse,2021.7150684931507,0.022812203081912327,0.03767204269372773,0.028441376581190107,0.044994260574033315,0.03944655805341209,0.0628747966077115,0.09545034997443579,0.11825235601685387,0.08916279868018656,0.08992851613536967,0.0991492647272279,0.1131606389077633,0.08979829128262676,0.1107739052819903,0.07553803878230204,0.08951179775455033,0.09753421324883488,0.07423616525603975,0.08292809051799285,0.04772149080952404,0.06761273751508645,0.04703966984106788,0.06508751748026885,0.05643501306567299,0.05753341609162776,0.05525334472190322,0.06882072118172773,0.04051858201106582,0.05462347961583888,0.06375987365799766,0.05101621734136701,0.05367088820630141,0.05938669843986569,0.055190878420168746,0.05758026792146297,0.06084438264829691,0.06458248818851582,0.03946216989421609,0.04748207174107489,0.04856467108857387,0.04933499588719,0.0555864995984769,0.039306051697124464,0.0543684124457266,0.050729937402528534,0.05758026792146297,0.04990754198165981,0.045035896601689246,0.04070072420036265,0.024185623593384054,0.028467390812278864,0.02962763875278517,0.016153708800865068,0.021750948440391216,0.019279973763960682,0.023051508591713125,0.017001579059527188,0.017037990975324793,0.02247925811767574,0.021246339860430657,0.019602494322149867,0.02039319834786262,0.015248635559227649,0.01614850718550038,0.01785466492862248,0.005293869462529797,0.005527893812761903,0.005631904973156666,0.019160329549446378,0.01464526214970296,0.010453050566778655,0.010338627693648754,0.01348014710254662,0.011342436937713953,0.005169056906383001,0.008221849954368686,0.00994855160930412,0.005647506665163499,0.011581689669017459,0.014421599647218522,0.017865068501209603
hesse,2021.7342465753425,0.019300781481543735,0.019727341526875847,0.03733379883682261,0.03633989500379043,0.03430010998950347,0.042475342919471665,0.07069002707995525,0.0985240775593066,0.1021815291274359,0.09930556269366995,0.11038307506088874,0.1222969001291514,0.08792829836301616,0.09623178891611701,0.08107396897848565,0.06152117849254182,0.057028460160391224,0.06698792938825285,0.06308825498840619,0.06364012705822229,0.05070391203169792,0.05802275950749141,0.04493180659506327,0.04306342641232404,0.04349538578092121,0.04391173555637019,0.037266150329455565,0.03912391439292093,0.06145349851172543,0.04476005853964989,0.0392384006239477,0.04742481951846127,0.0391603418027236,0.058959812942986974,0.0396599202833872,0.04141889104947138,0.06054243042102582,0.052624619390358916,0.03956624895266614,0.04728429160292492,0.040476949600232785,0.0391603418027236,0.0432351688640971,0.02916977997100291,0.04137725791782401,0.03481004874182383,0.03465394451102432,0.049132003785611465,0.042053800437282025,0.028004339444842118,0.02965885654380517,0.042163088900829135,0.020460824908193256,0.021750948440391216,0.016236934717412117,0.013027631779014988,0.012002985197778588,0.01102516870917996,0.023504111153991303,0.011685712939020211,0.015243434034403385,0.012460692850623104,0.010557071579020381,0.00869512693287168,0.016580243031184678,0.01058307686459831,0.011051174228849372,0.011259218854422043,0.0103178235619476,0.0073221154890305085,0.011945772024446666,0.0044305887457612245,0.007488539187764362,0.006479603687694912,0.010338627693648754,0.00411336268563894,0.007457334703679101,0.016944360386214385,0.007722573415268598,0.002059240773237899,0.01210700931057096
hesse,2021.7534246575342,0.010525865253503073,0.019727341526875847,0.014218743790855273,0.03633989500379043,0.04287607165729657,0.039071875280322396,0.07776171414526374,0.08955867840567697,0.10776198295499358,0.08617817092468685,0.07855330303263434,0.09489293070542455,0.08231351481760345,0.07805855856588875,0.07738154744978096,0.05779370456934408,0.09385104155197567,0.05974070370509909,0.05948040548142198,0.04772149080952404,0.035486505823880056,0.04860630997513122,0.046482769270983576,0.05049050448218209,0.050516529746210785,0.033993108458347285,0.03009590758592735,0.04611324040876914,0.039597472710824616,0.04068511198771174,0.0340035152602333,0.04867397323689687,0.046748207116564654,0.05017299730986679,0.05246325642182697,0.04530653159405573,0.04573850959640714,0.04077878533393879,0.04616008195019439,0.052400793471663994,0.05059981067861753,0.05432156350967198,0.03537202785293648,0.03845261383765349,0.04137725791782401,0.03614736085562561,0.033264637501864175,0.039576656869969126,0.04477046749655761,0.02672966877680145,0.03203146350014633,0.023925503287740443,0.016153708800865068,0.017604979810963983,0.027400818009318758,0.022052675497653,0.020003046832517246,0.020044662854686982,0.013282496246981336,0.01380783307096228,0.01088994021653837,0.02039319834786262,0.011727322305289757,0.014905336036696496,0.006375590831702886,0.007941006311263562,0.009672899607554079,0.019706533638604806,0.008840751485169706,0.010250210191398735,0.004477392754523038,0.01624213634162231,0.010484256848604085,0.008102231180201475,0.005169056906383001,0.006167565743876809,0.004971437638504235,0.001882434072264451,0.011581689669017459,0.014421599647218522,0.009927747633663777
hesse,2021.772602739726,0.019300781481543735,0.021522053219978347,0.015997660566351175,0.025954476180500403,0.020575270056807718,0.028878417390679725,0.07245525506294959,0.05729915757563819,0.08730845482541774,0.09367913184804637,0.08417288897974083,0.13508932049817973,0.08979829128262676,0.08169373820459482,0.0792251214758117,0.07457985670044144,0.057028460160391224,0.043443342293381516,0.06308825498840619,0.04772149080952404,0.047320724729743635,0.042334828379042795,0.03718289074890309,0.031183348142826493,0.03788019385310015,0.04249615992071718,0.028665099393831998,0.05030832799871698,0.05325446028496681,0.04476005853964989,0.04054460228475993,0.04867397323689687,0.04168950721766337,0.03134984822602566,0.031984634684030094,0.040123075453931664,0.03900942841394738,0.04999082193874902,0.05407690864046316,0.04089327520849365,0.046800253911839784,0.06317155605759583,0.03668333606507092,0.03845261383765349,0.0306994603021415,0.03882729214870378,0.041585423909386174,0.039576656869969126,0.028482999357174327,0.03309813128755091,0.03677700220273344,0.019368406621194236,0.03446662005265436,0.03522112545811492,0.01826560762847452,0.012028991206470531,0.024003539242806113,0.021048659483589287,0.019415224077081128,0.024435340310973965,0.013064040912244218,0.012460692850623104,0.01641899187425904,0.012419082897521123,0.006375590831702886,0.014556837324433585,0.015201821854517133,0.007036076001273164,0.011789736417122243,0.013183671100922938,0.011945772024446666,0.008861555025932942,0.01348014710254662,0.011342436937713953,0.012060198434059565,0.00411336268563894,0.007457334703679101,0.016944360386214385,0.005787922103842218,0.00823745242345698,0.011909363674193372
hesse,2021.7917808219179,0.010525865253503073,0.01614330557066179,0.021329573928131205,0.024222040540008326,0.029154171219953295,0.037375428731245226,0.04063307131271867,0.034013922064202035,0.046420313504227644,0.04682107264453606,0.041132663942573124,0.04559798623797571,0.03926962418524795,0.049001881060368006,0.047888043855116795,0.031682849991800474,0.02390469371950037,0.03801028875082421,0.03784376734006448,0.030043877507337415,0.04056021445523075,0.050178202329851346,0.05423307119005987,0.04455187983905281,0.039285235972925804,0.04391173555637019,0.04443738190897566,0.05170329562506108,0.03686546482099745,0.056971197426198245,0.05363445063004696,0.039935731292599704,0.0391603418027236,0.05393636274679701,0.04350059013253707,0.034945339454244696,0.053811433382442334,0.053941568143489285,0.051437832484717894,0.039613084596931664,0.04300617905444269,0.05432156350967198,0.040612255057304224,0.04640990421706133,0.04004501530468429,0.03481004874182383,0.03465394451102432,0.036844650073748424,0.025772385635974608,0.03309813128755091,0.0344041787164938,0.027343587891964963,0.02585042436269211,0.0186453423773541,0.022328393132581854,0.014031492933522608,0.02700541121156181,0.025059637351513973,0.023504111153991303,0.01912391614748985,0.025049232339419344,0.021527255372886592,0.00821144831090872,0.0335404145921226,0.008923965698159696,0.013230482988800326,0.012434686626035387,0.011259218854422043,0.01473888859917765,0.01464526214970296,0.01791708639536092,0.013292898904860724,0.01348014710254662,0.012960014884929158,0.010338627693648754,0.00411336268563894,0.004971437638504235,0.016944360386214385,0.005787922103842218,0.016481411617619894,0.014692075353365513
hesse,2021.8109589041096,0.024565401576333933,0.01793269177375792,0.014218743790855273,0.03633989500379043,0.030865958835972974,0.028878417390679725,0.04240248348073944,0.062676957915329,0.0631403181410118,0.05806440596828428,0.08042816688737137,0.05107347351826374,0.059850029347594015,0.052635029921646904,0.05342103105331768,0.046602476366937574,0.04598312523732999,0.056117469594776245,0.03964430838321295,0.04064868350975094,0.07268958186683085,0.06429613355261093,0.05423307119005987,0.04009185138016989,0.05753341609162776,0.051000602031338736,0.05590924542062987,0.0698829369028794,0.07238756084952898,0.07461630895657138,0.06672238820766165,0.04742481951846127,0.07455902685126699,0.04640990421706133,0.05374376343539674,0.04918925788787994,0.055159645297441204,0.04867397323689687,0.07387685390208906,0.04472883168142824,0.07085144661859487,0.058116464091179994,0.06683172852956405,0.06763877134996359,0.046722183738465074,0.05088088481022107,0.04990754198165981,0.038208033618714575,0.05698681452927201,0.042012166797299716,0.05339500433559273,0.035325196028371635,0.039852467437546855,0.03625663690628759,0.02537178868248336,0.043110265206553824,0.02700541121156181,0.040102259402673944,0.03372253234035525,0.021246339860430657,0.03049133788453498,0.027192708793601864,0.030501743985632348,0.028571447866759088,0.0216833202022213,0.0264695357447724,0.02072612995572637,0.022520876121625445,0.01473888859917765,0.02050764334763409,0.005969942681265255,0.020674109251490356,0.01348014710254662,0.014582844610372604,0.01723045438239712,0.022614516752292035,0.024867144964795872,0.02071052373899237,0.015441092343604745,0.016481411617619894,0.029185388726731997
hesse,2021.8301369863013,0.03685505744633147,0.019727341526875847,0.024887954918197185,0.04672738841304081,0.03772928417949908,0.06117236722661607,0.09899296723057394,0.16311436247476557,0.13752930814227465,0.17438287136065903,0.19473497709494522,0.1716594246146404,0.1422531993516404,0.11440616130840815,0.1271914276654587,0.13432293775103987,0.13991727015108202,0.13406226592153142,0.1226356970982038,0.09194964765873473,0.08622504857047392,0.07999069260826137,0.07284059303329125,0.0950856824870607,0.08562085104034486,0.06375987365799766,0.08029796582437891,0.09646101323324587,0.08742304719162623,0.08819915668238097,0.10339031611916284,0.057413683829383666,0.07329883649877006,0.09160063222236234,0.07551200099235775,0.08676154019273125,0.08074065076866568,0.08817311255190044,0.09500753978676921,0.0946116185766912,0.0733821539263549,0.08087606103372345,0.07076813324576048,0.08489686497015311,0.07878244943324356,0.09242368730145435,0.08598024355281363,0.07235111015572843,0.07735550873672067,0.06621734303770525,0.07001831889689215,0.06040707309520206,0.05386348724777792,0.05595089018875102,0.049740982467614055,0.047117740491102005,0.03701116828502577,0.06518123479560113,0.043948166320326984,0.031875367610436675,0.040300012226055996,0.0396599202833872,0.02228677528269061,0.03478403133747756,0.038265275694501145,0.03176089758912708,0.03454987528417737,0.025335370930646296,0.022109899792226023,0.023436480635720867,0.032853576251881456,0.014764895976167997,0.03295764208392984,0.022682146201540552,0.018952253310311876,0.014390391002423017,0.04228799028327915,0.030127125658070207,0.019300781481543735,0.030907583552730985,0.03693311280709546
